# T 	 Position
2.000000000000000042e-03	0.000000000000000000e+00
3.000000000000000062e-03	-2.919318575319549580e-05
4.000000000000000083e-03	-6.414326988164451070e-05
5.000000000000000104e-03	-9.909419594695371438e-05
6.000000000000000125e-03	-1.338972513121319211e-04
7.000000000000000146e-03	-1.685368379890322238e-04
8.000000000000000167e-03	-2.030236795945056542e-04
8.999999999999999320e-03	-2.373781598630622441e-04
1.000000000000000021e-02	-2.716277082113580273e-04
1.099999999999999936e-02	-3.058063566135317199e-04
1.200000000000000025e-02	-3.399546509762718617e-04
1.299999999999999940e-02	-3.741196954512833808e-04
1.400000000000000029e-02	-4.083550194978884411e-04
1.499999999999999944e-02	-4.427206221954930066e-04
1.600000000000000033e-02	-4.772830165560527568e-04
1.700000000000000122e-02	-5.121151852116073884e-04
1.799999999999999864e-02	-5.472965361018136167e-04
1.899999999999999953e-02	-5.829126365991475203e-04
2.000000000000000042e-02	-6.190501618877436657e-04
2.100000000000000130e-02	-6.557813412877138304e-04
2.199999999999999872e-02	-6.931504429529181761e-04
2.299999999999999961e-02	-7.311707606232543304e-04
2.400000000000000050e-02	-7.698243920623266219e-04
2.500000000000000139e-02	-8.090623276823781258e-04
2.599999999999999881e-02	-8.488045391692234688e-04
2.699999999999999969e-02	-8.889400681071814173e-04
2.800000000000000058e-02	-9.293270702915414419e-04
2.900000000000000147e-02	-9.697928600410297409e-04
2.999999999999999889e-02	-1.010133998822742045e-03
3.099999999999999978e-02	-1.050116383877075987e-03
3.200000000000000067e-02	-1.089475292530198538e-03
3.300000000000000155e-02	-1.127910463510282003e-03
3.400000000000000244e-02	-1.165007265069910921e-03
3.500000000000000333e-02	-1.200052266501230869e-03
3.599999999999999728e-02	-1.231900655236701017e-03
3.699999999999999817e-02	-1.258953371616468656e-03
3.799999999999999906e-02	-1.279156001076711680e-03
3.899999999999999994e-02	-1.289997741669173534e-03
4.000000000000000083e-02	-1.288509228319065442e-03
4.100000000000000172e-02	-1.271258739677949470e-03
4.200000000000000261e-02	-1.234346410915637552e-03
4.299999999999999656e-02	-1.173397050669396915e-03
4.399999999999999745e-02	-1.083782576331172604e-03
4.499999999999999833e-02	-9.620850344358131438e-04
4.599999999999999922e-02	-8.081794195158126205e-04
4.700000000000000011e-02	-6.261730540749599469e-04
4.800000000000000100e-02	-4.244689111027200729e-04
4.900000000000000189e-02	-2.146152624484019367e-04
5.000000000000000278e-02	-8.213554920905725943e-06
5.099999999999999672e-02	1.855289672264796440e-04
5.199999999999999761e-02	3.603124006561367419e-04
5.299999999999999850e-02	5.128004597783575270e-04
5.399999999999999939e-02	6.425327380680101582e-04
5.500000000000000028e-02	7.510539681012308065e-04
5.600000000000000117e-02	8.405304091068492318e-04
5.700000000000000205e-02	9.130630037383302656e-04
5.800000000000000294e-02	9.706148385663970540e-04
5.899999999999999689e-02	1.015004187021818945e-03
5.999999999999999778e-02	1.047901274585368069e-03
6.099999999999999867e-02	1.070826240414370469e-03
6.199999999999999956e-02	1.085147542093915828e-03
6.300000000000000044e-02	1.092080785787748285e-03
6.400000000000000133e-02	1.092688167901190209e-03
6.500000000000000222e-02	1.087886513362533621e-03
6.600000000000000311e-02	1.078480297272947077e-03
6.700000000000000400e-02	1.065196217492702475e-03
6.800000000000000488e-02	1.048693413095911275e-03
6.900000000000000577e-02	1.029563987257625744e-03
7.000000000000000666e-02	1.008332954078880591e-03
7.099999999999999367e-02	9.854581499617598439e-04
7.199999999999999456e-02	9.613302336093964076e-04
7.299999999999999545e-02	9.362727303384388517e-04
7.399999999999999634e-02	9.105420763915176479e-04
7.499999999999999722e-02	8.843277075621779754e-04
7.599999999999999811e-02	8.577521035073459605e-04
7.699999999999999900e-02	8.308707877473285684e-04
7.799999999999999989e-02	8.036734797899380053e-04
7.900000000000000078e-02	7.760996488061724539e-04
8.000000000000000167e-02	7.480732989162822751e-04
8.100000000000000255e-02	7.195272524213166751e-04
8.200000000000000344e-02	6.904071822375598732e-04
8.300000000000000433e-02	6.606717891463951935e-04
8.400000000000000522e-02	6.302928461067729311e-04
8.500000000000000611e-02	5.992551096302770053e-04
8.599999999999999312e-02	5.675563197811246338e-04
8.699999999999999400e-02	5.352072001761672007e-04
8.799999999999999489e-02	5.022314579848885215e-04
8.899999999999999578e-02	4.686657396169408257e-04
8.999999999999999667e-02	4.345596307221431852e-04
9.099999999999999756e-02	3.999756561904823813e-04
9.199999999999999845e-02	3.649882609653865712e-04
9.299999999999999933e-02	3.296779607981706870e-04
9.400000000000000022e-02	2.941228342545017032e-04
9.500000000000000111e-02	2.583945789048957067e-04
9.600000000000000200e-02	2.225582011374534327e-04
9.700000000000000289e-02	1.866721047827929610e-04
9.800000000000000377e-02	1.507879581766508883e-04
9.900000000000000466e-02	1.149507384723484052e-04
1.000000000000000056e-01	7.919886457819046296e-05
1.010000000000000064e-01	4.356362109540345019e-05
1.019999999999999934e-01	8.078729810861737200e-06
1.029999999999999943e-01	-2.724561740817913150e-05
1.039999999999999952e-01	-6.240667318880791924e-05
1.049999999999999961e-01	-9.739078929139558937e-05
1.059999999999999970e-01	-1.321991178400666698e-04
1.069999999999999979e-01	-1.668395464538272087e-04
1.079999999999999988e-01	-2.013265209966996294e-04
1.089999999999999997e-01	-2.356810012652562735e-04
1.100000000000000006e-01	-2.699305496135521380e-04
1.110000000000000014e-01	-3.041091980157257764e-04
1.120000000000000023e-01	-3.382574923784659724e-04
1.130000000000000032e-01	-3.724225368534774916e-04
1.140000000000000041e-01	-4.066578609000825518e-04
