#Ts	Xmm	Ymm
0	156.9	163.9
0.1	157.1	164.9
0.2	157.6	165.3
0.3	157.1	165.3
0.4	156.4	166.3
0.5	155.9	167.5
0.6	156.2	168.6
0.7	155.9	169.1
0.8	155.7	169.6
0.9	155.7	170.5
1.0	155.5	171.7
1.1	155.5	172.9
1.2	155.0	173.6
1.3	154.8	174.5
1.4	154.3	176.4
1.5	153.8	178.0
1.6	153.6	179.2
1.7	153.3	180.2
1.8	152.9	181.3
1.9	152.9	183.2
2.0	152.4	184.1
2.1	151.7	185.1
2.2	150.8	187.0
2.3	149.8	188.9
2.4	149.1	191.7
2.5	148.9	192.4
2.6	148.4	193.3
2.7	147.9	195.0
