#Ts	Xmm	Ymm
0	62.8	83.5
0.1	59.0	85.8
0.2	59.0	86.1
0.3	58.1	85.8
0.4	57.9	85.8
0.5	57.6	86.1
0.6	53.9	88.4
0.7	54.6	88.0
0.8	54.1	88.7
0.9	54.1	88.9
1.0	51.5	90.5
1.1	51.3	90.8
1.2	51.0	91.0
1.3	51.0	90.8
1.4	50.8	91.0
1.5	48.0	92.9
1.6	48.2	92.4
1.7	48.0	93.1
1.8	47.7	92.7
1.9	45.6	94.1
2.0	45.4	94.3
2.1	45.2	94.3
2.2	44.9	94.5
2.3	44.7	95.0
2.4	42.8	96.4
2.5	42.8	96.7
2.6	42.8	96.9
2.7	42.6	96.7

